Manutenzione Ordinaria (Tagliando) (Si/No),Campagna di richiamo/in garanzia (Si/No),Lavorazione per riparazione (Si/No),Raccomandabilità,Soluzione al primo tentativo,Accoglienza,Verifica tempistiche di prenotazione,Fornito Preventivo,Spiegazione lavori effettuati,10 a casa madre,Note cliente
Si,No,No,9,,10,9,Si,10,Si,Vorrei vedere nell'app la cronologia dei tagliandi o eventuali interventi per riparazioni. Grazie
No,Si,No,10,,10,10,,10,Si,Molto efficenti
Si,No,No,10,,10,10,Si,10,Si,Tutto ok
Si,No,No,2,,6,9,Si,3,No,"iniziate ad assumere personale competente e non raccolto a caso per strada, ma soprattutto iniziate a fare un servizio clienti funzionante perchè quello che attualmente avete è imbarazzante"
Si,No,Si,10,Si,10,10,Si,10,Si,Buongiorno ho trovato personale preparato gentile e cordiale
Si,No,Si,4,No,6,8,Si,9,No,Servizio centralino inaccettabile. Ore al telefono e non riuscire a parlare con la persona di riferimento. 6 viaggi di mezz'ora per un tagliando per mancata comunicazione che il veicolo non era pronto
No,No,Si,2,Si,4,1,Si,1,No,Non mi sento satisfatto per îi costi per un tubo da 60€  o pagare 610€   🤨
Si,No,No,10,,10,10,Si,10,Si,I migliori!
Si,No,No,10,,10,10,Si,9,Si,NN
No,No,Si,9,Si,10,10,Si,10,Si,"Posso fare solo complimenti in quanto mi sono presentato in officina con un problema di spia motore e avendo constatato che la mia autovettura è adibita a Taxi si sono attivati nel risolvere il problema in mattinata per consentirmi di lavorare,nonostante"
No,No,Si,4,Si,10,10,Si,4,No,"Il tutto specificato con mail indirizzata a: *** Ad oggi, nessuna risposta a riguardo. Altamente deluso per il servizio ricevuto."
Si,No,No,10,,10,10,No,10,Si,L’unico appunto da fare è che durante la garanzia ripetutamente è stato informato il mio referente che la seduta del lato guida era scollata sulla parte anteriore e non è stato mai provveduto alla riparazione nonostante mi dicesse che mi avrebbe chiamato.
No,No,Si,10,Si,10,10,Si,10,Si,Cortesia e gentilezza
Si,No,No,10,,10,10,No,10,Si,Cortesia e disponibilità degli addetti
Si,No,No,10,,10,10,Si,10,Si,Bravi
Si,No,No,10,,10,10,Si,10,Si,Personale molto cortese e attento a garantire un servizio efficiente
Si,No,No,6,,10,10,Si,10,No,Il prezzo pagato è mediamente il doppio da quanto si legge su internet se si domanda il costo del tagliando B9
Si,No,Si,10,Si,10,10,No,10,Si,"Buongiorno, la fiducia riversata in Voi non fa' altro che consolidare ogni volta che ho la necessità di servirmi del Vostro prezioso Servizio, preciso, affidabile e onosto, Grazie Distinti saluti ***"
Si,No,No,10,,10,10,Si,10,Si,"Il documento ricevuto dopo il tagliando non identificava i singoli controlli effettuati ed il loro esito, indicava solo il tipo di tagliando eseguito. Per sapere cosa è stato controllato e’ necessario andare su un altro documento, quello relativo al contr"
Si,No,No,6,,9,9,Si,9,No,Il preventivo non corrisponde a quanto fatto pagare
No,Si,No,6,,8,5,,6,No,Per la parte di manutenzione potrei dare 10 senza il minimo dubbio. Per la parte vendita no
No,Si,No,10,,10,10,,10,Si,Molto professionali consiglio  un 10 +
Si,No,No,10,,10,10,Si,10,Si,Nessuno
Si,No,No,9,,9,9,Si,9,Si,Accettazione top...
Si,No,No,10,,10,10,Si,9,Si,Prezzi alti
Si,No,No,10,,10,10,Si,10,Si,Complimenti a *** del servizio assistenza per la professionalità che dimostra ogni volta.
No,Si,No,10,,10,10,,10,Si,"Pesonale disponibile, rapido, cordiale e preparato. Grazie."
Si,No,No,10,,10,10,Si,10,Si,Soddisfatto
No,No,Si,2,Si,8,4,Si,6,No,L orario di lavoro è stato aumentato.  Nonostante abbia fatto notare che avevano aggiunto 22 minuti rispetto a quanto mi avevano annunciato a fine lavori ho dovuto pagare comunque
Si,No,No,9,,9,9,No,9,No,Tagliando troppo costoso . L’auto aveva fatto meno di 10 moka km
No,Si,No,9,,9,9,,9,Si,Tutto bene
Si,Si,No,9,,9,8,Si,9,No,"In generale bene. Ma all’accettazione c’era un solo addetto (molto gentile ed efficiente peraltro) disponibile (un altro sembrava molto intento a lavorare sul pc) e forse andrebbe prevista una ridondanza, per non far aspettare i clienti. Quando è arrivata"
No,No,Si,10,Si,10,10,Si,10,Si,Personale accoglienza molto gentile
Si,No,No,10,,10,10,Si,10,Si,"Ringrazio il consulente *** per l'accoglienza, la cordialità la preparazione tecnica"
Si,No,No,9,,8,4,Si,2,No,32 minuti di telefono  per prendere appuntamento  al servizio clienti non mi sembra normale la cosa  costi troppo alti  in officina almeno il 10% in meno dovrebbe costare
Si,No,No,9,,5,9,Si,8,No,"Una volta offrivano un caffè nell'attesa, adesso non ho potuto avere nemmeno un bicchiere di acqua per prendere una pillola. Un sorriso in più all'accoglienza non guasterebbe."
Si,No,No,10,,10,10,Si,10,Si,"Tutto veramente top , tagliando già compreso con il mio contratto"
No,Si,No,10,,10,10,,10,Si,Accettazione molto accogliente ed officina competente sono molto soddisfatto grazie ancora . ***
Si,No,No,2,,2,4,Si,1,No,Poco trasparenti.
Si,Si,No,9,,10,8,Si,9,Si,Nessuno
Si,No,No,10,,10,10,Si,10,Si,Tutto bene
No,Si,No,2,,2,2,,2,No,Ho portato la macchina il 9 settembre in quanto era per un problema causato dalla concessionaria dopo un’intervento eseguito da loro a luglio e il problema persiste e la concessione voleva farmi pagare una fattura da 110€ in quanto ancora in garanzia (aut
Si,No,No,10,,10,10,Si,10,Si,"Nessun suggerimento, la Sig.ra *** è stata molto professionale, ha rispettato orario dell'appartamento e quindi non ho incontrato nessuna problematica."
Si,No,No,10,,10,10,No,10,Si,Ho fatto solo un rabbocco di liquidò refrigerante. Super disponibili ad accogliere la mia richiesta anche all’ultimo momento.
No,No,Si,10,Si,10,10,Si,10,Si,Molto soddisfatto
Si,No,No,10,,10,10,Si,10,Si,Ringrazio la cortesia di *** che si è occupato di tutto.
No,No,Si,10,Si,9,10,Si,9,Si,"Mi hanno cortesemente pulito i tappetini, sono stati carinissimi."
No,Si,No,10,,10,10,,10,Si,Solo una richiesta. Rispondete al telefono.
Si,Si,No,10,,10,10,Si,10,Si,"Varese personale sempre disponibile e veloce anche per un cambio lampadina ed altro , gentili ed educati ti sanno consigliare bene .."
No,Si,No,10,,10,10,,10,Si,Tutto perfetto sia nel servizio che nella puntualità
Si,Si,No,10,,10,10,Si,10,Si,Soddisfatto
Si,No,No,6,,7,9,No,2,No,"Bisogna sempre informare il cliente sulle spese da sostenere. Ho poi chiamato , l’auto è stata ritirata da mio figlio, e sono stati poco esaustivi nelle spiegazioni."
Si,No,No,9,,10,10,No,10,Si,"Gentili, disponibili, preparati  e puntuali ma sempre troppo cari!!!!!!!"
Si,No,No,9,,10,10,Si,9,Si,Ho comprato da voi una auris riverniciata in più punti ma chi ha fatto il lavoro lo ha fatto in modo tale che ora si sfoglia
No,Si,No,10,,10,10,,10,Si,"Assistito dalla Signora *** ***, molto professionale e gentile."
Si,No,No,10,,10,9,Si,9,Si,"Sarebbe gradita meno macchinositá in fase di prenotazione. Ti girano da un numero all’altro, rifai la spiegazione, ti rimettono in attesa e poi cade la linea e si ricomincia. Uno strazio per prendere un appuntamento Grazie"
No,No,Si,2,No,2,2,Si,2,No,Sono stato preso in giro.mi anno trattenuto l'auto più di un mese.dicendomi che il pulsante alzacristalli era stato ordinato.e che arrivava dopo 10 giorni lavorativi. Invece non era disponibile. E non lo è ancora.( Solo dopo molti e molti giorni mi è stat
Si,No,No,10,,10,10,Si,10,Si,Nessun suggerimento e commento
No,Si,No,10,,10,10,,10,Si,"Personale veramente educato, preparato e corretto con un’ottima formazione"
Si,No,No,10,,10,10,Si,10,Si,Personale cortese puntuale e attento alle esigenze del cliente
Si,Si,No,10,,10,10,Si,10,Si,"Sono molto soddisfatto degli interventi eseguiti, della chiarezza del responsabile dell officina e della tempistica rispettata."
No,Si,No,9,,9,9,,9,Si,Buoni e cordiali
No,No,Si,9,Si,10,10,Si,9,Si,Tutto ok e molto cortesi e precisi
Si,No,No,10,,10,10,Si,10,Si,"Gradirei avere piu attenzione sulle spiegazioni dei menu della vettura., non in modo sbrigativo. Grazie"
Si,No,No,9,,9,9,Si,9,No,"10 è la perfezione, non si può dare! 🙂"
Si,No,No,10,,10,10,Si,10,Si,La signora dell’accettazione veramente gentile sa metterti a tuo agio.
Si,No,No,10,,10,10,No,10,Si,Tutto perfetto
Si,No,No,10,,10,10,Si,10,Si,Nessun suggerimento
No,Si,No,8,,10,10,,2,No,"Oggetto: Spett.le Autotorino S.p.A., con riferimento alla fattura officina intestata a me *** ***, relativa all’ordine di lavoro n. ***, chiedo cortesemente di ricevere il documento in formato .pdf con dettaglio analitico delle prestazioni fattu"
Si,No,No,10,,10,10,Si,10,Si,Efficienza e competenza. Tutto bene
Si,No,No,10,,10,10,Si,10,Si,Tutti bravissimi e gentili ! Un complimento particolare al sign *** *** *** il consulente che si è occupato di me ! Super preparato e professionale!grazie
Si,No,No,10,,10,10,No,10,Si,Efficienti professionali e disponibili come sempre grazie
Si,No,No,10,,10,10,Si,10,Si,"Attendo appuntamento con preventivo per sostituzione cicalino sensori e controllo a un mese circa dal tagliando, come da accordi. Grazie mille Cordialmente *** ***"
Si,No,No,10,,10,10,Si,10,Si,Sono stata accolta con un buon caffè ed è stato gradito
Si,No,No,10,,10,10,Si,10,Si,"Professionalità e gentilezza, tornerò in questa officina sicuramente"
Si,Si,Si,6,No,9,8,Si,9,No,"Ho riscontrato un problema di connessione alla radio, portata a luglio restituita in giornata con l accordo che in previsione del tagliando avrebbero fatto anche l intervento. Purtroppo mi hanno fatto il tagliando ma dovrò tornare...quando arriva il pezzo"
Si,No,No,9,,10,9,Si,10,Si,"Continuate così, grazie"
No,Si,No,10,,10,10,,9,Si,Siete molto cari nel tagliando macchina distinti saluti.
Si,No,No,9,,9,9,No,9,No,Si può sempre migliorare ☺️
No,Si,No,9,,9,9,,9,Si,"sottolineo la disponibilita', chiarezza e competenza del vostro dipendente, mi sembra il sig ***."
Si,No,No,9,,9,9,Si,9,Si,Nessuno
Si,Si,No,8,,10,8,No,8,No,Il preventivo era stato richiesto all'atto della prenotazione dell'appuntamento ma mi è stato fatto a voce solo all'accettazione. Giudico sempre eccessivo il costo della manutenzione che era base.
Si,No,No,10,,10,10,Si,10,Si,"Professionalità, gentilezza, disponibilità. In officina ***. Ricevimento ***. L'unico lato negativo il centralino."
Si,No,No,10,,10,10,Si,10,Si,No commenti
No,Si,No,10,,10,10,,10,Si,Ho acquistato una autovettura Mini in sostituzione di altra Mini non ho fatto nessun intervento ma mancava la corrispondente voce
Si,No,No,10,,10,10,Si,10,Si,.
Si,No,No,10,,10,10,Si,10,Si,La signorina che mi ha seguita è stata molto gentile e competente. Complimenti.
Si,No,No,9,,9,9,Si,9,Si,Manca sempre un po di sconto
Si,No,No,10,,10,10,No,10,Si,Grazie
No,Si,No,2,,2,2,,2,No,"Totalmente deluso dal trattamento di BMW dopo essere stato cliente per 8 anni. Ho acquistato il nuovo modello di Mini Countryman aziendale di 1 anno che presenta un fastidiosissimo cigolio al sistema frenante. I controlli lo definiscono ""normale"", nessun"
Si,No,No,10,,10,10,Si,10,Si,Tutto perfetto
Si,No,No,10,,10,10,Si,10,Si,"Bella accoglienza , ci vorrebbe macchina del caffe e derivati.Totyo ok"
Si,No,No,10,,10,10,Si,10,Si,Nessun commento tutti cordiali e professionali da chi mi vendette la macchina quattro anni fa diventando amici e ultimamente la sig all accettazione e la simpatica *** sento la mancanza del formaggio peccato 🤣
No,No,Si,9,Si,10,10,Si,10,Si,"Tutto perfetto, disponibilita'e gentilezza."
No,No,Si,9,Si,10,9,Si,9,No,Se posso permettermi velocizzerei un po’ l’officina. Sono stata da voi cambio olio freni dalle 10 alle 12.00 passate… a mio avviso un po’ troppo. Il resto tt ok
Si,No,No,10,,10,10,No,10,Si,il costo del tagliando era compreso nel finanziamento fatto per acquistare la mercedes attuale !
Si,No,No,10,,10,10,Si,10,Si,Ottimo trattamento
No,No,Si,10,Si,10,10,Si,10,Si,Servizio puntiale con i tecnici  accettazione gentilissimi e competenti
Si,No,No,10,,8,10,Si,8,No,Quando ero andato a prenotare il giorno mi chiedevano di lasciare la macchina tutto il giorno purtroppo dovevo andare a lavorare mi reputo fortunato che mi è stata consegnata alle 11 tempi d'attesa troppo lunghi ho chiesto informazioni riguardo alla propo
No,No,Si,10,Si,10,10,Si,10,Si,*** super gentile ed efficiente! Voto 10 anche a lui!
Si,No,No,10,,10,10,Si,10,Si,"Servizio di qualità e personale molto gentile e preparato. Per questo ho dato 5 anche se la burocrazia eccessiva fa perdere tempo agli operatori e al cliente. Parola d'ordine: ""snellire"""
Si,No,No,8,,10,10,No,10,No,"Gli appuntamenti presi online sono mal gestiti. Avevo preso un appuntamento alle 8:00 che risultava essere alle 9:30 nella programmazione dell'operatore. Ovviamente questo ha fatto allungare i tempi di consegna auto, essendo che i lavori da svolgere dalle"
No,No,Si,8,No,10,10,Si,9,No,Voglio essere più libera nel dare le votazioni; non trovo corretto che  la premessa del questionario inizi con “RICORDATI  DI DARCI 10”. Inoltre ho già ribadito più e più volte che non voglio essere contattata x questi questionari ne’ via mail ne’ tantome
No,Si,No,10,,10,9,,8,Si,"L’ultima domanda sarebbe non applicabile: essendo stato intervento in garanzia non ho ricevuto fattura. Un commento sul sondaggio: comprendo la vostra necessità di avere un riscontro sulla qualità del servizio erogato, ma trovo fastidioso ricevere la rich"
No,No,Si,10,Si,10,10,Si,9,Si,Servizio molto buono tutto ok.
Si,No,No,9,,9,9,Si,10,Si,Molto cortesi
No,No,Si,9,Si,10,4,Si,9,No,"Purtroppo ho dovuto chiamare più volte per poter perché nessuno richiamava come d’accordo, inoltre avendo la spia motore accesa e non sapendo se l’auto poteva affrontare un lungo viaggio , ho dovuto noleggiare un auto per andare in vacanza !!!!  Il 10 di"
Si,No,No,9,,9,9,Si,9,Si,Qualche sconto per i clienti poiché i tagliandi stanno troppo aumentando
Si,No,No,3,,7,9,Si,7,No,Troppo cari
Si,No,No,3,,10,9,Si,10,No,Inaccettabile il fatto che nella scheda tecnica allegata al contratto di garanzia non sia presente il valore di usura della batteria che e' stato necessario sostituire dopo 4 mesi dall'acquisto del veicolo!
No,No,Si,2,Si,6,2,Si,6,No,"Autotorino castellanza , comparto auto usata kia picanto marzo ,al ritiro del veicolo arriviamo a casa ci  accorgiamo che il bullone della ruota svitato completamenre e finestrino del passeggero non funzionava. ,ad agosto la macchina nn va , causa batteri"
Si,No,No,9,,9,7,Si,9,Si,I messaggi inviati in automatico spesso contrastano tra loro infatti mi sono arrivati 2 in contemporanea che mi davano l'appuntamento uno alle 7:45 di mattina e 1 subito dopo alle 9:20...
No,No,Si,10,Si,10,10,Si,10,Si,N*** dell'accettazione TOP! Toyota sempre una garanzia
No,Si,No,8,,8,8,,9,Si,Non avete capito subito il problema della batteria.
Si,No,No,9,,9,9,Si,9,Si,Nulla da suggerire
Si,No,No,9,,10,9,Si,9,Si,"Grazie della disponibilità, cortesia e professionalità del personale"
Si,No,No,9,,9,9,Si,9,Si,Nulla
Si,No,No,10,,10,10,Si,10,Si,Suggerimento: valutare di inviare un SMS o WA di promemoria degli appuntamenti presi. Servizio ottimo!
Si,No,No,10,,10,10,Si,10,Si,Tutto ok
No,Si,No,10,,10,10,,10,Si,Ottimo
Si,No,No,10,,10,10,Si,10,Si,Ottimo servizio
No,Si,No,5,,6,5,,8,No,"Ho provato a telefonare ad AUTOTORINO almeno 7 volte senza MAI avere risposta.La sera, mi sono recata da Gallarate a Busto per riuscire a parlare con un addetto all’Officina: arrivo alle 18.10 e l’officina era già chiusa. Il giorno dopo vengo contattata e"
No,No,Si,10,Si,10,10,Si,10,Si,Tutto ok
No,No,Si,1,Si,9,9,No,1,No,"390 euro x sostituire pretensionatore 120 euro + lavoro a 100 euro ora,risulta fuori di ogni logica..ovviamente non acquisterò più bmw"
Si,No,No,9,,10,9,Si,7,No,Prezzo eccessivo per un tagliando Yaris L'operazione si è dilungata causa problemi informatici
Si,No,No,10,,10,10,Si,9,Si,Utile la video registrazione. Da migliorare l'audio ed eventualmente estenderla anche ad altre fasi dell'operazione di tagliando.
Si,No,No,10,,10,10,Si,10,Si,Servizio molto efficiente e veloce. Personale molto gentile e disponibile. Tempi di lavorazione perfetti come anticipatamente concordato.
Si,No,No,10,,10,10,Si,10,Si,Fondamentale il contatto diretto xon il Sales Manager *** ***
No,Si,No,10,,10,10,,10,Si,Ben organizzati. Tutto positivo
Si,No,No,9,,10,10,Si,10,Si,È stata fatta per manutenzione ordinaria a sesto tagliando e fatta bene controllo generale per sicurezza. Piccolo neo è manodopera il costo un po' alta! Ma fa sconto di 10% su materiale alla fine si pareggia.non ho avuto problema auto e tutto perfetto fun
No,Si,Si,1,No,7,7,No,8,No,"La macchina ha una anno e ha sempre avuto problemi,mi è stata consegnata con problemi alla centralina,ho passato due mesi con la macchina sostitutiva.in seguito mi si è accesa la spia di segnalazione acustica di rilevamento pedoni a marzo, fissato appunta"
Si,No,No,10,,10,10,Si,10,Si,Grazie!!
Si,Si,No,2,,2,10,No,2,No,"Purtroppo non mi ritengo per niente soddisfatto, per non parlare dell agente di vendita approssimativo e poco motivato."
No,No,Si,10,Si,10,10,Si,10,Si,Grazie!🙏
No,No,Si,10,Si,10,10,Si,10,Si,Farei pagare qualche euro in più ma aggiungerei un lavaggio accurato del mezzo
Si,No,No,10,,10,10,Si,10,Si,Motivo è acquisto auto nuova
No,No,No,10,,10,10,,10,Si,Many thanks to all the team but especially *** *** who was extremely helpful.
Si,No,No,10,,10,10,Si,10,Si,Tutto bene
Si,No,No,10,,10,10,Si,10,Si,Molto soddisfatto tutti gentili e il mio voto e 10
Si,No,No,10,,10,10,Si,10,Si,"purtroppo i costi  per i tagliandi sono sempre elevati,ma la qualità c'è,oltre alla professionalità."
Si,No,No,9,,10,9,Si,7,No,"Non ho datto 10 per i prezzi gonfiati, lo staff nulla da dire,sono preparati,gentili ma non si può chiedere 10 per una fattura di 374 euro per un ora di lavoro,3,5 litri olio 0w40(102 euro + iva,che lo trovi anche di marche famose a 9-10 euro al litro),fi"
Si,No,No,9,,9,9,No,9,No,"Un pò ""caretto"" il costo dei tagliandi"
Si,No,No,10,,10,10,Si,10,Si,I miei complimenti a *** per la professionalità e cortesia
No,No,No,9,,10,10,,8,Si,"Sinceramente.....3 ore per un cambio gomme prenotato 3 mesi fa,personalmente le ritengo eccessive;comunque essendo la prima volta parzialmente insoddisfatto dei tempi ,per me assistenza Toyota di *** e' sempre il Top...nonostante l' ultimo"
Si,No,Si,10,Si,10,10,Si,10,Si,*** *** è  stato molto professionale e disponibile
Si,No,No,10,,10,10,Si,10,Si,Ottimo servizio e personale
No,No,Si,10,Si,10,10,No,10,Si,"Ottimo lavoro. Tempi rispettati. Cordiali e gentili. Gradito omaggio, inaspettato, prodotto caseario. Sarebbe utile anche conoscere pacchetti manutenzione ordinaria - offerte."
No,Si,No,10,,10,10,,10,Si,Ottimo servizio! Ogni volta  mi trovo benissimo con Sig *** *** e *** ***! Complimenti e grazie!
No,No,Si,10,Si,10,10,Si,10,Si,"Professionalità e puntualità, nonché gentilezza e simpatia,  che non guastano."
Si,No,No,10,,10,10,Si,10,Si,Molto preparato il nuovo accettatore
Si,No,No,10,,10,10,Si,10,Si,Tutti molto cordiali
Si,No,Si,9,Si,9,9,No,8,No,"Il prezzo per il cambio delle pastiglie indicato nella App MyBmw era inferiore rispetto a quanto applicato da Autotorino di Belluno, non mi è stato comunicato il motivo."
Si,No,No,9,,9,9,Si,9,No,"Sarebbe utile sapere in anticipo se sono disponibili nuovi aggiornamenti al software in modo tale da pianificarli in sede di tagliando, e invece questo non avviene e il cliente è costretto a prendere un nuovo appuntamento."
No,No,Si,9,Si,10,10,Si,10,Si,Nessuno
Si,No,Si,4,No,9,9,Si,9,No,"Ritirata autovetture venerdi 5/09 dopo circa 2 mesi e mezzo, fatto montare l antifurto che parte da solo mentre sto andando e  riconsegnata con gli interni sporchi , tra montaggio batteria che mi era stata rubata tagliando e antifurto che non funziona ben"
No,No,Si,9,Si,9,9,Si,8,No,Costi eccessivi
Si,No,No,9,,9,9,Si,9,No,Avrei dato anche 10 al questionario Toyota che ho già compilato ma i tempi di consegna dell'auto sono stati lunghi... Per il resto ok (dato 9 a Toyota). Grazie
No,Si,No,3,,6,4,,6,No,"Intervento prenotato per garanzia Toyota Approved. 4 richieste sui seguenti punti: 1. USB non funzionante 2. Condensa fanali posteriori 3. Due carter allentati 4. Assenza rete fermacarico Dopo una giornata in officina, questi gli interventi proposti: 1."
Si,No,No,9,,9,9,Si,5,No,Al termine dell'intervento non vi è stata nessuna spiegazione dei lavori eseguiti.Per eseguire un semplice tagliando ho dovuto lasciare l'auto alle 9.00 e la consegna e avvenuta alle 17.45. Praticamente una giornata intera.
Si,No,No,8,,9,9,Si,9,Si,"Tutto bene, un problema che segnalo ogni volta ma mai risolto."
No,No,Si,9,Si,2,3,No,9,No,"Tempi lunghissimi per l’appuntamento, ritiro del veicolo lento, 11 persone in attesa e apparente disinteressamento da parte del personale"
Si,No,No,10,,10,10,Si,10,Si,"Servizio altamente professionale, sotto tutti gli aspetti. Una lode al consulente sig. *** *** *** per la sua competenza e gentilezza."
Si,No,No,10,,10,10,No,10,Si,C
Si,No,No,10,,10,10,Si,10,Si,Un po’ di sconto in più
No,Si,No,9,,10,10,,10,No,Mi ha fatto diventare  matto i primi 18 mesi causa xle marce non so il termine  tecnico. Per tutto il resto ok
Si,No,No,9,,9,9,No,9,No,Costi eccessivi.
Si,No,No,10,,10,10,Si,10,Si,Tutto ottimo e perfetto
No,No,Si,9,No,9,9,No,9,No,Un po’ cara una diagnosi 50€
Si,No,No,8,,10,10,Si,10,No,costi manodopera troppo elevati
Si,No,No,8,,8,8,Si,10,Si,Pulire la macchina a fine tagliando
Si,No,No,10,,10,10,Si,10,No,Unica nota negativa: era terminato il Casera 😅
Si,No,No,9,,9,9,No,9,Si,Peccato che era finito il formaggio come omaggio quindi sarebbe stato carino ricevere in alternativa 😉
Si,Si,No,10,,10,10,No,10,Si,Nessun commento
No,No,Si,9,Si,9,9,No,9,Si,"Mi era stato dato indicativamente un mese di tempo per l intervento, in un patio di giorni è stato fatto il lavoro e risolto il problema. Veramente soddisfatto ottimo servizio. Grazie"
Si,No,No,10,,10,10,Si,10,Si,altissima attenzione al cliente
Si,No,No,5,,9,9,No,7,No,"Nom mi è stato considerato il 3 tagliando pagato con il pacchetto manutenzione. Ho preso appuntamento il giorno stesso che si è accesa La spia della manutenzione, Quindi pagato 2 volte,se è questo il trattamento di autotorino non ci vedremo mai più."
Si,No,Si,8,Si,10,10,No,8,No,"Troppo caro, in Toyota il cambio pastiglie freni a 504 euro è troppo caro In Mercedes il cambio batterie piccolo è stato troppo costoso"
No,No,Si,10,Si,10,10,Si,10,Si,"Abbiamo avuto un guasto alla nostra Mercedes e siamo stati accolti molto cordialmente, nonostante fossimo arrivati un giovedì sera dopo l'orario di chiusura. La mattina seguente, i dipendenti dell'officina si sono occupati molto rapidamente della nostra a"
No,Si,No,10,,10,4,,10,No,"Ragazze call center le due volte che ho avuto necessità non mi hanno dato il supporto necessario ed ho risolto diversamente, una volta mi hanno buttato giù il telefono."
Si,No,No,9,,9,9,Si,9,Si,"Si per il personale, ma i prezzi sono decisamente eccessivi"
Si,No,No,10,,10,10,Si,10,Si,Ho apprezzato molto  i video della vettura durante la lavorazione
Si,No,No,10,,10,10,Si,5,Si,Tagliando molto costoso
Si,No,No,10,,10,10,Si,10,Si,Ottimo servizio: uno spunto di miglioramento potrebbe essere offrire un giorno gratis per l'auto sostitutiva
No,Si,No,9,,10,8,,10,No,"Essendo un richiamo in garanzia su appuntamento i componenti da sostituire dovrebbero esserci tutti. Non è ottimale dover far tornare il cliente una seconda volta per completare un intervento programmato, questo nel mio caso comporta la perdita di una gio"
Si,No,No,10,,10,10,No,10,Si,"Tagliando inserito nel contratto auto, per questo non è stato dato preventivo Auto consegnata alle 9,30 circa , in anticipo rispetto a ora prevista 10,45 Bella sorpresa messaggio di avviso per auto pronta"
No,No,Si,10,Si,10,10,Si,10,No,"1,3 ore di manodopera per programmare una chiave, sono eccessive (ho dovuto pagare anche il tempo perso ad aggiornare i vostri sistemi). Altro punto a sfavore è stata la comunicazione con l'accettazione per la quale ho perso un mese e mezzo per ordinare u"
No,No,Si,9,Si,9,9,No,8,No,"Purtroppo manca il contatto diretto con il meccanico, aspetto fondamentale per alcuni tipi di guasti come nel mio caso. Ho dovuto chiederlo e sono riuscito a parlarci ma sembrava una eccezione, una cosa che non avviene mai. Invece è importante riportare a"
Si,No,No,3,,4,7,Si,1,No,"Niente di nuovo da un concessionario, preventivo telefonico tra i 350 e 400 euro, fattura 450 e passa euro. Segnati acqua tergicristallo e radiatore aggiunti dal sottoscritto il giorno prima, pressione pneumatici già a norma messa 2,9 bar (????) Come det"
No,No,Si,10,Si,10,10,Si,10,Si,Dovreste esser più celeri nel dare risposte inerenti i tempi di lavorazione
Si,No,No,10,,10,9,Si,10,Si,Servizio impeccabile. Sarebbe magnifico se autotorino si convenzionasse anche con Lexus.
Si,No,No,10,,10,10,Si,10,Si,. Tutto ok
Si,No,No,10,,10,10,Si,10,Si,Straordinaria la professionalità del Consulente Service sig.***. Perfetto durante tutto il servizio.
Si,No,No,10,,10,10,Si,10,Si,Ottimi in tutto 👍🏻
No,No,Si,10,Si,9,9,Si,9,Si,Grazie a tutti voi
No,No,Si,10,No,10,10,Si,10,Si,"La riparazione non è avvenuta al primo tentativo, inquanto il ricambio Smart non è disponibile. Un po assurda la cosa visto che parliamo di una macchina di 9 anni. Ho fatto ordinare il ricambio altrimenti non si potevano sapere i tempi di consegna, parlia"
Si,No,No,2,,9,9,Si,2,No,Preventivi sempre maggiorati rispetto a prezzo consigliato da Toyota
No,No,Si,10,Si,10,10,Si,10,Si,Soddisfatto x la riparazione della pompa di calore
No,No,Si,10,Si,10,10,No,10,Si,La riparazione è avvenuta in regime di garanzia
Si,No,No,9,,9,9,Si,9,No,"Non posso dare 10, solamente per il fatto che ritengo che il costo di quasi 400 euro per il primo tagliando di un Yaris di un anno di vita con 10122 km sia eccessivo."
Si,No,No,10,,10,10,Si,10,Si,La mia Cl.A è stata immatricolata nel 2011. Da allora ho sempre utilizzato i Vs servizi per la manutenzione con grande soddisfazione per la cortesia e la professionalità.
Si,Si,No,9,,10,9,Si,10,Si,"Non ho avuto bisogno di preventivo, perchè era tutto incluso nell'acquisto dell'automobile."
Si,No,No,10,,10,10,Si,10,Si,"Personale qualificato, velocità e qualità nei lavori svolti. Siete una sicurezza e un punto di riferimento per i vostri clienti. ***, il migliore nel suo campo; professionale, attento ai dettagli e sempre disponibile. Fortunatamente, non h"
Si,No,No,10,,10,10,Si,10,Si,"Nulla da dire sul service, unico punto critico, ma che riguarda intero mondo mercedes, è la gestione app da pc e smart, facile prendere appuntamento, impossibile cambiarlo"
Si,No,No,10,,10,10,Si,8,No,"Manodopera troppo cara, abbandono delle vetture con più di 10 anni,nessuna agevolazione"
No,No,Si,10,Si,10,10,Si,10,Si,Tutti molto professionali. Grazie
Si,No,No,10,,10,10,Si,10,Si,Vorrei poter rispondere ad un sondaggio su mercedes piuttosto che su autotorino
Si,No,No,10,,10,10,Si,10,Si,Pienamente soddisfatto
Si,No,No,10,,10,10,Si,10,Si,.
No,No,Si,8,No,9,9,Si,9,No,"Criteri di valutazione assurdi che non vi permetteranno mai di crescere e di migliorare, ma solo di vivere nell'ansia del 10. A titolo informativo segnalo che ancora una volta le gomme sono state gonfiate troppo (2.6/2.5) rispetto a quanto indicato nel m"
