Raccomandabilità,Accoglienza,Esperienza d'acquisto,Esperienza consegna,Opinione Miglioramento Servizio
9,9,9,7,"Verificare le auto da 35.000€ prima della consegna. Nel mio caso , ad esempio, i proiettore led sotto i finestrini proiettano un logo errato certamente a casa di problemi nel filtro interno. Cordiali saluti ***"
10,10,10,10,"Non saprei, ottimo anche il caffè"
9,9,9,9,Magari i dipendenti dovrebbero rispondere alle chiamate telefoniche. Soprattutto quando si tratta di un'auto del valore di 48000 euro.
10,10,10,10,Penso non ci sia nulla da migliorare.
9,9,9,9,"Sicuramente qualche regalo quando si acquista l'auto invece di un banalissimo telo mare,potreste regalare un telo antigrandine, un pieno di carburante,un kit di gomme invernali,bulloni antifurto,una cam....per questo con tutta sincerità sono rimasto alqua"
9,9,9,9,Miglior tempistica nel rispondere alle mail
9,9,10,5,La tempistica un po' lunga ( dato caparra il 27 giugno e ritirata il 29 luglio) e le mancate spiegazioni alla consegna. Inoltre la valutazione risibile della mia auto d'epoca certificata ASI.
5,9,5,5,Tante cose. Ho aspettato 30 giorni per avere un’auto che era già a vostra disposizione. Una volta arrivata ho dovuto attendere 10 gg per la consegna. Il giorno della consegna avevo poco tempo perché dovevo tornare al lavoro e la signora che doveva fare il
10,10,10,10,Per quanto mi riguarda siete fantastici. Date il massimo con i vostri clienti e avete un super rivenditore il signor ***.
10,10,10,10,Non saprei perché sono soddisfatta del servizio ricevuto.
10,10,10,10,tutto bene
5,9,9,9,Potreste migliorare i controlli sulle macchine che vendete e la vostra burocrazia sulla consegna delle auto e troppo lenta
10,10,10,10,Niente siete migliori
10,10,10,10,Niente
8,9,8,8,"La macchina ci ha messo 1 mese per arrivare da *** a ***. Provata, dopo insistenza mia perché non me la volevano far provare. Fuori convergenza. Dopo 3 giorni, allarme per AD blue scarico. Se hanno fatto così anche il resto dei controlli sono fottu"
10,10,10,10,niente
10,10,10,10,Non posso aiutarvi avendo avuto un buon servizio sia di accoglienza con la parte commerciale e nel ritiro del veicolo
10,10,10,10,"Nulla , davvero ottimo servizio"
10,10,10,10,Nulla siete eccezzionali
9,10,10,9,Direi che è già un buon servizio paragonando ad altri concessionari.
10,10,10,10,Nulla siete al top bravissimi
10,10,10,10,"Direi che è tutto soddisfacente, sempre migliorabile ma ottimo già adesso"
10,10,10,10,Ho trovato il personale paziente e puntuale nel soddisfare le mie richieste . La mia attuale esperienza è stata al momento positiva .
4,3,4,4,Tutto
10,10,10,10,"Vendita usato e installazione di parti nuove su usato. Bisognerebbe che una persona competente provi il veicolo. Così da non dover poi perdete tempo, tutti, acquirente, venditore e installatore, per aggiustare il veicolo consegnato."
10,10,10,10,Tutto ok
10,10,10,10,Salone di *** in provincia di *** tutto il servizio è stato ottimo
10,10,10,10,fornendo più notizie tecniche. E' un difetto che riguarda oramai tutte le case automobilistiche. Si preferisce far leva sulle emozioni. Probabilmente si sottovalutano le capacità di comprensione dei clienti e li si affida agli automatismi (e AI). Personal
10,10,10,10,Tutto perfetto!
10,10,10,10,Niente e tuto bene.
9,9,10,7,Rispettare termini di consegna.
2,2,2,2,"Eliminando il problema alla radice, ho avuto il dispiacere di conoscere il venditore *** il quale non ascolta minimamente l’unico obiettivo che ha e solo vendere macchine se la vettura presenta dei difetti lui e un muro e non sente ragione e nemm"
9,9,9,9,Sono stato servito con gentilezza e professionalità.
10,9,10,10,"Il servizio reso da parte della concessionaria di *** è stato eccellente. Sin dal primo contatto, l'addetto vendite Sig. *** è stato sempre chiaro, corretto e disponibile a soddisfare le mie esigenze (tenendo conto che risiedo in ***"
2,9,2,4,"Buongiorno, ho acquistato la mia quarta Lexus, la prima presso Lexus *** Autotorino, davvero deluso, non sembrava essere presso un concessionario Lexus, così come sempre conosciuto dove ho comprato le precedenti tre macchine. Desidero essere richiamato"
10,10,10,10,I tempi di consegna un po' lunghi
10,10,10,10,Noi ci siamo trovati bene
10,10,10,10,Non saprei.
10,9,10,10,Magari non dimenticare di mettere i tappeti alle gomme li ho dovuti comprare
1,9,1,1,"Migliorare la missione dei vostri venditori di auto usate, ovvero mettere al centro la soddisfazione del cliente e non una volta fatto il bonifico di saldo per l'acquisto di un'auto usata arrivederci e grazie. Se vi servono particolari chiedete pure."
9,10,10,10,Garanzia 100% compresa per almeno 1 anno
10,9,10,10,Credo nulla sono stato trattato benissimo
10,9,10,9,Nulla
9,10,9,6,Alla consegna della macchina sarebbe consigliato che l'utente conosca bene la macchina che sta consegnando.
10,10,10,10,"Mi sono trovato molto bene, personale gentile e qualificato, il venditore *** molto disponibile, gentile e preparato. Sto aspettando da una decina di giorni di essere richiamato per la sistemaione/sostituzione in garanzia di un fanalino posteriore in"
10,10,10,10,La mia esperienza è stata ottima.
10,10,10,10,È già eccellente
8,8,8,8,Un mese x avere la macchina dopo di che consegnata con problemi spia accesa sempre macchina d Ferma dal 17-7-25 non si deve consegnare una macchina se ha dei problemi app x riparazione al 30 luglio ma è possibile ho pagato in contanti e mitrovo con vacanz
9,9,9,9,I prezzi dell’usato sono un po’ più alti della concorrenza …….pero come giustificazione ci sono dei servizi post vendita migliori
9,9,9,5,"la fase di consegna; il fatto che l'acquisto sia concluso non dovrebbe essere buon motivo per ""abbandonare"" il cliente"
4,2,2,2,Occupandovi anche di chi acquista vetture non Mercedes
2,2,2,2,Tutto assistenza pessima e arroganza
10,10,10,10,"Tutto ok per quanto riguarda la vettura ,la concessionaria, l’officina e il personale di Autotorino , ma sono rimasto profondamente deluso per quanto riguarda il finanziamento  eccessivo spropositato e solo “in apparenza chiaro”, con una assicurazione rel"
10,10,10,10,Secondo me e x il trattamento avuto non potrei dare suggerimenti
9,9,8,7,Maggior attenzione ai dettagli di pulizia dell'auto (seppur trattasi di usato). Maggior chiarezza sugli optional (navigatore presente ma non disponibile sd card con mappe). Questi ed altri punti già segnalati al venditore.
10,10,10,10,Conoscere ed avere i pacchetti servizio/mobilità via mail in pdf
10,9,10,10,Niente
10,10,10,10,"Ho trovato un livello di accoglienza e professionalità altissimo. Ho trovato davvero la vostra concessionaria di Villorba al Top,  e in particolare il Sig. ***, che in sola mezza giornata si è reso disponibile per preparazione e prova del veicolo da"
10,10,10,10,Niente. Non esiste qualcosa di meglio.
10,10,9,10,E’ ok
9,9,9,9,In caso di auto usate sarebbe utile avere anche una copia della tassa auto pagata
9,9,9,9,"La disponibilità alla consegna un po' più vicino ad una delle tante filiali Autotorino che avete. Per il ritiro dell'auto, per la consegna negata dalla filiale Autotorino di Carpi, sono dovuto andare direttamente alla Autotorino di Verona che ha gestito t"
10,10,10,10,"Nulla da migliorare, va bene così"
10,10,10,10,Controlli più accurati della vettura prima della consegna
10,2,10,10,Io mi sono trovata splendidamente nella Filiale di Curno grazie a *** lui non ha rivali
10,10,9,10,Va bene così...sono rimasto molto soddisfatto dell'acquisto dell'automobile
10,10,10,10,Ottimo
10,10,10,10,Tutto bene  molto soddisfatto
10,10,10,10,Con un Salone espositivo più grande
6,9,9,2,"Fare formazione al personale in modo che se il cliente telefoni per una problematica riscontrata non venga insultato è fatto passare per pezzente, dopo aver acquista una BMW M440d"
9,9,9,9,Maggior riscontro dopo l'acquisto
10,10,10,10,"Ho acquistato l’auto con la legge 104. Le troppe lunghezze burocratiche hanno portato un ritardo nella consegna dell’auto. Capisco che tutti i moduli ricevuti siano obbligatori per legge, ma ricevere ogni due giorni una mail con la richiesta di produrre d"
9,9,9,9,Nulla . Tutto ottimo
8,8,6,10,L'esperienza con Autotorino filiale di Luisago è stata nel complesso positiva. Purtroppo devo rilevare che le informazioni che ci sono state fornite dal personale che ci ha seguito nell'acquisto non sono state univoche; ad esempio prima di acquistare (con
10,10,10,10,Un po’ più di celerità nella consegna dato che ho aspettato più di un mese
6,9,6,9,Assistance postvendita. Non rispondono neanche al Telefoni.
10,10,10,10,Direi che il livello è molto buono.
6,9,3,9,"Purtroppo diversi disagi, disguidi e atteggiamenti poco professionali, che hanno fortemente ritardato la consegna dell'auto (non per colpa mia). Questo mi porta a dare una valutazione negativa a questa esperienza, nonostante l'auto per il momento pare sia"
10,10,10,10,"Quando l’auto (usata) è pronta per la consegna al proprietario, bisognerebbe evitare che venga consegnata con evidenti imperfezioni che dovrebbero essere sistemate prima della consegna stessa."
1,8,8,2,Più attenzione su consegna auto usate.
8,8,8,7,Le lungaggini per la consegna
10,10,10,10,Nessun consiglio
10,10,10,10,Niente va bene così per me siete molto bravi
10,10,10,9,Tutto bene
1,6,5,3,Tutto
10,10,10,10,Per quanto mi riguarda sono al momento soddisfatta
10,10,10,10,Tempistiche nelle risposte del venditore La direzione molto competente e veloce
6,2,9,3,Poca organizzazione della filiale. Un grazie per il lavoro svolto lo devo a *** *** che si è dimostrato sempre disponibile ad aiutarci con i problemi avuti prima della consegna della macchina. Notare che il giorno della consegna la macchina non e
10,10,10,10,Nulla c è competenza e professionalità per quanto mi riguarda Autotorino a *** ***
10,10,10,10,Direi che va bene così
8,4,9,3,"Assicurarsi che il personale delle filiali dove spedite per le consegne le auto sia preparato e cortese, e non disinteressato in quanto non cliente della filiale"
10,10,10,10,difficile migliora  anche se è un acquisto dal valore insignificante  e sono un dipendente mi sono trovato bene in tutto il prcesso
10,10,10,10,Continuate così! Ringrazio *** e *** che sono stati perfetti e meravigliosi
9,10,9,9,Non saprei.
10,10,10,10,continuate a mantenere lo standar
9,9,9,10,"Per me siete competenti e professionali e gentili .., si può sempre migliorare ma le persone con le quali mi sono confrontato sono già ok così"
10,10,10,10,Tutto bene
9,10,9,9,"A mio parere personale, si potrebbe informare il cliente con una semplice checklist informativa che indichi esattamente dal principio tutti i vari step che cliente e concessionario dovranno seguire fino alla consegna (documenti e procedure). In questo mod"
9,9,9,9,Tutto perfetto
10,10,10,10,va bene così
10,10,10,10,Nulla
9,10,7,8,Il venditore è stato molto frettoloso e superficiale soprattutto nella spiegazione del pacchetto soddisfatto o rimborsato dando per scontato che il cliente già sapesse informazioni riguardo il rilascio di un permessino di circolazione e della sua validità
3,5,3,5,"Dare una mano al venditore (che non sapeva più come gestire la situazione) dato sia l unico che si interfaccia con il cliente, negativa la parte di chi organizza spostamenti tra figliali. Ho aspettato un mese e mezzo la consegna di un usato (sul contratto"
10,10,10,10,Per ora niente
10,10,10,10,Siete stati perfetti così. Grazie!
9,10,9,10,Evitare passaggi di filiali che non hanno la materialità dell'auto.
9,9,9,9,"Buongiorno, Esperienza positiva, credo che da parte mia non ci sia nulla da migliorare. Saluti ***"
9,9,9,9,Le tempistiche di consegna per un usato in casa sono veramente eccessive
9,9,9,9,Niente
10,9,10,10,Sinceramente ho trovato tutto molto soddisfacente
10,10,10,10,Al momento non saprei perché è ben strutturata.
9,10,9,9,Più veloci per le consegne delle macchine.
10,10,10,10,"Il venditore Sig *** è stato ECCELENTE.. Con tanta pazienza, mi ha aiutato a trovare l'auto.. COMPLIMENTI. Ha risposto a tutti i miei dubbi... Quando entri in concessionaria vieni accolto con un sorriso, cose che pochi lo fanno...Tenetevi stretto il"
10,10,10,10,"Nulla, è perfetto così! Complimenti"
10,10,10,10,"Auto Torino di Novara molto bravi. Personalmente volevo ringraziare signor *** per la disponibilità e spiegazioni di tutto ciò che servito a noi per sapere. Una persona intelligente, a capacità di lavoro che auguro a tutti venditori. Siamo contenti dell"
10,10,10,10,Li tempo di consegna
10,10,10,10,Nulla
10,10,10,10,Tutto ok. Un bravo ad ***
8,9,7,9,Trasparenza dei venditori (***) in fase di trattativa per la vendita dell'auto. Celerità nella consegna del veicolo (quasi tre settimane...)
9,10,10,10,Controlli più accurato sull'usato
9,10,9,9,"I tempi di consegna. Abbiamo atteso ben più di due mesi per ricevere l'auto, rispetto ad 7n mese previsto inizialmente."
10,10,10,10,Ho trovato tutto perfetto
1,10,1,1,mi dispiace molto mi avete dato una vettura che fa schifo appena uscito dal vostro autosalone la macchina a dato problemi enormi nessun buon viaggio
10,10,10,10,Nulla da aggiungere
10,10,10,10,Al  momento non serve altro!
10,10,10,10,Nulla. Un grazie a *** per la gentilezza e professionalità.
10,10,10,10,Va bene così.
10,10,10,10,"Non ho suggerimenti, il servizio mi ha pienamente soddisfatto. Un plauso alla disponibilità del venditore ***."
10,10,10,10,"Nulla tutto perfetto, *** molto professionale !"
10,10,10,10,Accoglienza ottima e venditore molto disponibile e gentile. Molto soddisfatto
10,10,10,10,Niente
10,10,10,10,Non c’è niente da migliorare sono tutti gentilissimi
9,10,10,9,Cercando di consegnare il veicolo usato nel tempo moooolto più breve senza lunghe attese consegna veicolo se in altre vostre concessionarie. Grazie
10,10,10,10,Le tempistiche di consegna vettura in concessionaria.
10,10,10,10,Tutto Perfetto. Personale disponibile e preparato.
10,10,10,10,"Il mio parere è che si potrebbe migliorare il tempo della consegna, anche se la mia attesa è diventata poi un enorme soddisfazione per la auto a me consegnata. Vorrei sottolineare la cortesia e l'attenzione delle persone che hanno seguito la mia pr"
10,10,10,10,Assolutamente nulla!
9,9,9,9,"Ho acquistato la 5 auto usata, compreso parenti ed amici a cui avevo segnalato Autotorino ed il sig. *** come persona di fiducia, ciò che raccomando è una maggiore cura ed attenzione nel preparare la vettura prima della consegna, avendo rilevato e s"
8,9,8,8,Non ho avuto una buona esperienza x questo acquisto...ho comprato sulla fiducia ed ho sperato nella affidabilità di autotorino..nelle domande a cui bisogna rispondere non c'è  la giusta causa.si dovrebbe parlare a voce..un plauso va a ***..unica
6,10,10,10,"Nonostante la segnalazione con notevole anticipo non ho ancora ricevuto i ricambi richiesti. - Manuale uso in italiano, ho solo quello tedesco. - Kit riparazione pneumatici, quello in dotazione e' scaduto."
10,10,10,10,"Ci siamo trovati benissimo, nulla da dire. Grazie al nostro venditore"
10,10,10,9,Niente
8,10,9,9,"Sono un cliente da ormai 10anni ho preso tutte le auto della mia famiglia,6 auto in totale perché il servizio di accoglienza e officina siano i migliori ma questa volta devo dire a malincuore di non essere rimasto contento spero che sia stato solo un caso"
10,10,10,10,"Niente proprio niente. Tuti gentili, ti aiutano in qualsiasi problema"
2,8,2,2,Ho dato il saldo della vettura il *** di 3000€ ( e 1000€ per avviare le pratiche iniziali). Oggi è il *** e ancora non ho la macchina. A quanto pare si è accesa una spia ed è stata inviata alla Toyota. La mia domanda è questa: cosa mettete a
10,10,10,10,Niente
5,9,9,9,Troppo tempo per la consegna Quasi 2 mesi non è giustificabile.
10,10,5,10,Dare indicazioni migliori in fase di vendita.
10,10,10,10,Siete fantastici
8,9,6,9,Tempi di consegna da una filiale all'altra da accelerare
9,9,9,9,La velocita' nel traferire l'auto presso la filiale di un'altra citta'. Io ho deciso di venire a ritirarla a Pavia perche' tardava a essere trasferita a Reggio Emilia.
10,10,10,10,"Nulla, io ho avuto la fortuna di conoscerti il venditore e ci siamo affidati a lui. Grazie"
10,10,10,10,Ho avuto il piacere di essere seguito da *** (Salone Luisago) nell'acquisto dell'auto e penso che non siano necessari miglioramenti. Perfetto cosi
10,10,10,10,Все  хорошо
10,10,10,10,Mi sembra. Soddisfacente  grazie
9,9,9,9,Velocizzare le pratiche delle auto usate x una consegna più veloce
10,9,10,10,Direi che sono soddisfatta cosi
10,10,9,10,La chiarezza sui tempi di consegna
10,10,10,10,Tempi di attesa della vettura usata che ho comprato molto lunghi. Mi sono state comunicate circa 3 settimane di attesa che alla fine sono state 5 se non 6 per avere l’auto.
10,10,10,10,Nulla da migliorare
3,8,5,4,"Proattività e trasparenza nel condividere le informazioni con il cliente, si viene seguiti tanto prima della vendita ma zero una volta avvenuto l acquisto"
10,10,10,10,Potreste migliorare il sito mettendo qualche Filtro in più nella ricerca dei veicoli disponibili
10,10,10,10,Tutto perfetto e venditore *** veramente eccezionale e molto professionale... I miei complimenti
10,10,10,10,"*** e *** della filiale di Corbetta sono stati deliziosi, idem *** di Trezzano. Direi che va già benissimo così Idem vs sito molto ben fatto come info per usato"
9,9,9,9,Servizio Buono o preso un auto usata ma.  Ma tenuta molto bene sddisfatto
2,6,2,2,"Tempi di attesa troppo lunghi per un auto usata , dopo i 150 controlli che fannno salgo 100 metri forti rumori allo sterzo contestato al ritiro un auto sostitutiva non mi viene data , il sabato non vengono controllate le macchine usate , così mi è stato d"
10,10,9,10,"Con l'acquisto dell'usato ho notato piccole mancanze nel controllo auto ( es. vetro scheggiato, chiave auto che non funziona ecc )."
10,10,10,10,Il servizio offerto è di grande qualità. Tempi di attesa un po' lunghi.
10,10,10,10,Secondo acquisto da Voi Siete una garanzia Grazie
10,10,10,10,Più  pubblicità .certe informazioni per tutti  clienti
10,10,10,10,"Potrei suggerire, quando si vende un veicolo usato, di elencare al cliente i difetti (carrozzeria, ecc.) che non si sono riusciti a sistemare. Per il resto, cortesia, disponibilità e professionalità ad ottimi livelli. Grazie."
10,10,10,10,Sicuramente i tempi di consegna x una vettura usata
10,10,10,10,Nessun problema grazie per tutto.
10,10,10,10,Ottimo servizio
10,10,10,10,Bene così.
9,9,9,9,Tutto perfetto
9,9,9,9,"Acquista  auto usata da circa un mese,  per  ora sono  soddisfatto,  tutto bene, servizio clienti  ottimo  professionale."
9,10,9,10,In generale tutto bene. Dovreste migliorare il passaggio di informazioni tra reparto vendite e officina. La prima auto che avevo opzionato non era vendibile per un importante malfunzionamento della batteria per il quale non è ancora stato trovato rimedio
10,10,10,10,Siete bravi
6,7,7,4,"spiegazione più chiara di come funziona il processo di acquisto incluso il ritiro dell'autovettura e la permuta, così da evitare sorprese."
10,10,10,10,Va bene così
4,5,4,2,"Maggiore disponibilità nell'accoglieza con il cliente. Inoltre,  maggiore, attenzioni sui controlli e spiegazioni su tutto quello che riguarda alla acquisto dell'autovettura,  nonché il rispetto delle date di consegne. Grazie mille"
10,10,10,10,tutto ok
10,10,10,10,"Accoglienza ottima, il venditore è stato chiaro e professionale, perfetto in tutte le fase di acquisto e post vendita."
9,10,9,2,Venditore preparati e qualificati. Consegna dell auto pessima
10,10,10,10,Più velocità nella consegna
9,10,10,10,Sono trovato molto bene.
9,10,6,9,Di dire subito le cose come stanno e di specificare magari se l’auto ha qualcosa o meno
10,10,10,9,Pulizia auto al ritiro
9,9,9,9,Il ritiro del usato viene pagato poco. E inoltre c’i sono anche le spese gestione del usato che a mio parere non dovrebbero esserci
10,10,10,10,Nessuna miglioria
9,9,9,9,Soddisfatto del servizio ma non soddisfatto della vettura che mi è stata consegnata. Al ritiro sembrava tutto bene ma alla sera ho notato una piccola scheggiatura sul parabrezza e la presa dell’ accendi sigarette inutilizzabile per la presenza di una chew
9,10,6,8,"Prima di tutto informandomi sui servizi di mobilità all inclusive, soddisfatto e garantito, soddisfatto o rimborsato. Il processo di vendita nonché il ruolo del venditore in tutte le fasi della compravendita (dal suggerimento all’acquisto, all’invio dell"
10,10,10,10,Se possibile tempi più precisi
10,10,10,10,Non saprei non essendo il mio campo
10,10,10,10,È perfetto così com'è.
10,10,10,10,Spostare le auto nelle varie sedi senza l’obbligo di caparra
10,10,10,10,Il prezzo
10,10,10,10,"Non trovo nulla di migliorabile nel vostro servizio,siete perfetti in tutto.Migliorerei leggermente le attese telefoniche,ma questo è solo un piccolo particolare,senza dubbio dovuto al carico di chiamate,per il resto siete formidabili,spero continuiate co"
10,10,10,10,va bene così
8,10,8,5,Migliorare la comunicazione tra venditore e compratore.
10,10,9,10,Tempi di consegna dell'auto da accelerare un pochino
10,9,9,9,"Credo nulla , perché nel mio caso è andato tutto alla grande , *** e tutto il personale sono stati bravi in tutto !"
2,9,2,5,"Tutto,purtroppo l’inefficenza dei controlli mi ha fatto perdere appuntamenti sul mio lavoro , mi hanno rimandato la consegna due volte dopo che l’auto era in salone da un mese . Servizio pessimo"
10,10,10,10,Una tabella che mostra i tempi di attesa
10,10,10,10,Niente
9,9,9,9,"Come descritto in una v/s recensione,  acquisto fatto il 4/6/25 con capparra del 10% macchina pagata a saldo il 17/6/25 con bonifico. Consegnata il 07/07/25 ho chiesto al v/s venditore *** i tappeti nuovi perché  usurati e macchiati, mi sono stati ne"
10,10,10,9,Organizzazione consegna. Lasciare un messaggio se il cliente non risponde (whatsapp)
9,1,9,9,Penso siate ad un buon livello. Però evitando assembramenti alla reception raggiungereste il top. Cordiali Saluti ***
9,9,9,9,Piú precisione sugli allestimenti.
9,7,10,5,Mettere il cliente sempre in uno stato di confort e mai a disagio
2,4,2,2,Macchina consegnata con  cuscinetti ammortizzatori danneggiati un danno di poco conto vi siete negati immagino se fosse un danno più grande cosa potreste … comunque grazie per questa esperienza
10,10,10,10,Tempi di consegna dell’auto
9,9,9,9,"Bisognerebbe migliorare la parte che riguarda la consegna delle auto ovvero verifica da parte degli addetti preposti di tutti quei accordi presi in fase di vendita: come sostituzione o sistemazione di parti delle auto,pulizia della stessa."
10,10,10,10,Soddisfatto al 100%
10,10,8,9,"Durante la fase di acquisto sono passato prima da un venditore e poi ad un altro. Il primo era un ragazzo molto giovane ed il secondo una persona più grande e con maggiore esperienza. Purtroppo con il primo venditore non mi sono trovato molto bene, ci son"
10,10,10,10,"Velocità di consegna, i tempi si sono allungati creando non poco disagio."
10,10,10,10,Che c'è sempre da migliorare
10,10,10,10,Nulla va tutto bene grazie
10,10,10,10,I tempi di consegna dell’auto  per il resto personale davvero super bravi e super cordiali consiglierò autotorino
9,9,9,7,"I tempi di consegna e la velocità nel risolvere le problematiche che si presentano lungo il percorso. Secondo me, il mio referente fino alla consegna dovrebbe essere uno solo"
10,10,10,10,Nulla
10,10,10,10,"Sono totalmente soddisfatta, specialmente della consulenza per la vendita azzeccata alla prima proposta!"
10,10,10,10,Nulla
10,10,10,10,Tutto benissimo
10,10,10,10,Nulla
10,10,10,10,Non saprei
10,10,10,10,Bvghh
7,9,7,3,"Il primo incontro a maggio ad per usato è stato molto utile efficace e ben fatto. Bloccata la macchina a ***, Le comunicazioni sono state ottime fino a pagamento di caparra. Da quel momento, non è stato mai facile avere informazioni sulle condizioni del"
10,10,10,10,Credo che sia già eccellente
10,10,10,10,"Nulla , è già tutto perfetto!"
10,10,10,10,Nulla
10,10,10,10,Tutto perfetto
10,10,10,10,Nulla
1,1,1,1,"La professionalità. Documenti mancati, seconda chiave non consegnata, impossibilità di avere risposte a fronte del saldo totale della vettura avvenuto 10 gg prima della consegna. Una volta pagata la vettura non abbiamo più avuto risposte ai problemi causa"
10,10,10,10,Con me e’ filato tutto liscio. Direi che il servizio è ottimo così
7,6,5,2,"Buongiorno, dopo un mese aspetto ancora di ricevere l’auto"
10,10,10,10,Siete al massimo Complimenti al Vs. venditore
10,10,10,9,Niente è perfetto.
10,10,10,10,Non saprei per me va già bene cosi
2,10,10,10,per la mia esperienza è andato tutto bene
2,7,7,1,"Potreste migliorare il vostro servizio cercando di mantenere la parola data, rispettando i tempi della consegna e soprattutto essere reperibili con i clienti."
10,10,10,10,"Niente, va benissimo così."
10,10,10,10,Siete ja bravi
10,10,10,10,Come da questionario va bene così
10,10,9,9,Un po’ le tempistiche per il resto top dell’ usato
9,10,10,10,"Avrei gradito un maggiore supporto per l’impostazione profilo autovettura e una maggiore pulizia degli interni della vettura alla consegna. Nulla da eccepire sul venditore che si è dimostrato professionale, cortese e simpatico; lo stesso vale per l’impieg"
10,10,10,10,"Ho comperato il bmw gs 1250 con il venditore *** *** che si è preoccupato in modo molto professionale e preparato , ha soddisfatto tutte le mie esigenze lo raccomando !"
10,10,10,10,Tutto ok
9,9,10,9,Alla consegna si richiede maggiore conoscenza e spiegazioni delle auto di altre marche rispetto al brand di riferimento delle concessionarie..
7,10,9,6,Una maggiore pulizia dell'auto alla consegna e se c'è qualche graffio sarebbe bello se venisse consegnata l'auto in ottimo stato.
7,7,7,4,Vendere auto e’ innanzitutto rispetto per il cliente ma nel mio caso a parte la professionalità del venditore che si è poi occupato di tutte le problematiche generate da una pessima organizzazione della filiale di Autotorino non mi rimane una buona impres
9,9,9,9,Tempi di consegna troppo lunghi
9,9,9,9,I tempi di consegna per auto già disponibili in salone
6,6,5,4,Più attenzione verso di me cliente
10,10,10,10,Non avrei nessun suggerimento essendo rimasto completamente soddisfatto in questa mia seconda esperienza con Autotorino
9,9,9,9,Officina
10,10,10,10,Mantenete questo livello che è già di ottima professionalità. Grazie
9,9,10,10,Nulla tutto perfetto
10,10,10,10,"Niente ,personalmente contento del servizio e dell’acquisto"
9,10,10,10,"Migliorare i venditori di Parma, per acquistare da voi sono dovuta andare a Crema (*** molto cortese e disponibile)"
10,10,10,10,"Sono rimasto completamente soddisfatto, non avrei consigli da dare l’esperienza è stata del tutto positiva. Una nota di merito alla venditrice *** Autotorino di Novara, persona disponibile, cordiale e professionale."
10,10,10,10,il servizio è adeguato.
10,9,10,9,Più controllo nella pulizia del veicolo prima di consegnarlo
9,10,9,10,Il personale piuttosto che dare dati sbagliati e meglio che si informi meglio Le tempistiche sono altamente da rivedere
10,9,10,10,Va tutto bene.
8,8,9,9,"Ho riscontrato un problema sulla vettura acquistata, ho preso appuntamento per la riparazione : -Dopo tre giorni lasciata presso di voi , il problema persiste, ho scritto mail ma senza risposta, inaccettabile. -Nessuna auto sostitutiva durante il periodo"
5,10,6,6,La macchina nonostante fosse passata dalla carrozzeria è stata consegnata con evidenti graffi che precedentemente non c’erano. Inoltre è stata consegnata sporca e scarica (macchina elettrica) Ho dovuto aspettare un’altra ora in concessionaria per caricar
1,9,1,1,Tutto e avere personale competenti alle vendite
9,9,9,9,"Un po' di benzina nell'auto al momento della consegna sarebbe stato gradito. Sono rimasta per strada dopo 5 minuti, per fortuna proprio davanti ad un distributore dove sono entrata a singhiozzo accendendo l'auto che faceva 1 metro e si spegneva ancora."
9,9,9,10,Leggermente macchinosa la registrazione dei documenti. La burocrazia è una piaga del nostro sistema considerando che ho acquistato una vettura usata il sistema dovrebbe essere più dinamico.
9,9,9,10,Una comunicazione più trasparente circa la tempistica relativa al trasporto di una vettura da una filiale ad altra. Per il resto tutto perfetto
9,10,9,9,Potrebbe migliorare la comunicazione e la celerità.
10,10,10,10,È perfetto cosi
8,9,9,9,Ho acquistato la mia BMW 220d da una concessionaria diversa da quella di consegna. A Como il venditore è stato professionale e disponibile. A Varese (dove ho ritirato l'auto) la consegna è stata gestita da una impiegata molto gentile e disponibile ma dei
9,9,9,8,Il sapere quando un camion passa per ritirare una vettura per portarla da un concessionario ad un altro.. magari diminuendo anche i tempi di trasporto.
10,10,10,10,Perfetti. Aprire una concessionaria a Genova
10,10,10,10,Nulla la preparazione è la gentilezza che mostrate è inpeccabile
9,9,9,9,"Non ho trovato nulla di grandemente negativo. La linea, tutto è migliorabile, è già di casa"
10,10,10,10,Gestione spazio nel salone
3,7,7,3,Tuttooooo
2,8,9,1,"La parte burocratica è una cosa mai visto da nessuna parte,più di 15 giorni per fare un radiazione per l’estero,più di 20 giorni per fare portare la macchina da una sede all’altra,è ancora non ho risposta dove sia il libretto originale"
10,10,10,10,Continuando cosi
9,9,9,9,Niente
5,6,4,9,rapporto migliore rivenditore cliente
9,9,10,9,Null'altro
2,9,3,8,L'ato consegnata non era molto pulita e presentava danneggiaemnti alla carrozzeria. dopo due giorni dall'acquisto ho riscontrato malfunzionamenti all'auto ( sarà stato fatto effettivante il check??? e una revisione??) . Cercare di contattare la filiale è
7,8,8,6,Nel mio singolo caso di acquisto di una macchina usata penso che l’aver acquistato un prodotto che non era nella concessionaria in cui sono andato a fare il contratto ha fatto la differenza in fatto di tempistiche!! L’averla fatta arrivare a Cremona ha ra
10,10,10,10,Il servizio ricevuto e’ stato molto soddisfacente e professionale.
10,10,10,10,Le tempistiche
10,10,10,10,Nulla
10,10,10,10,Perfetto
9,10,9,4,Rispettare i tempi di consegna. L'auto è arrivata una settimana dopo il previsto e ancora non è stata consegnata dopo due settimane dal pagamento.
9,9,9,9,Accorciare i tempi di consegna.
9,9,9,8,Il tempo d‘atteso per ritarare la macchina usats
